feature,importance
Adventure,0.31040186
No_of_Votes,0.12744871
Movie_Age,0.06512904
Family,0.046099305
Action,0.042734325
IMDB_Rating,0.03770387
Runtime,0.03658339
Sci-Fi,0.03242857
Animation,0.03197442
Fantasy,0.03112538
Drama,0.028520396
Meta_score,0.026093274
Western,0.024233552
Crime,0.020365525
Comedy,0.018716969
History,0.016602656
War,0.016196454
Mystery,0.015730433
Sport,0.0147867035
Music,0.014588661
Romance,0.011604641
Thriller,0.010557382
Musical,0.0099160895
Biography,0.0063286014
Horror,0.0041298526
Film-Noir,0.0
Released_Year,0.0
